Ativo,Nome
ABEV3,AMBEV S/A
ALPA4,ALPARGATAS
AMER3,AMERICANAS
ARZZ3,AREZZO CO
ASAI3,ASSAI
AZUL4,AZUL
B3SA3,B3
BBAS3,BRASIL
BBDC3,BRADESCO
BBDC4,BRADESCO
BBSE3,BBSEGURIDADE
BEEF3,MINERVA
BPAC11,BTGP BANCO
BPAN4,BANCO PAN
BRAP4,BRADESPAR
BRFS3,BRF SA
BRKM5,BRASKEM
BRML3,BR MALLS PAR
CASH3,MELIUZ
CCRO3,CCR SA
CIEL3,CIELO
CMIG4,CEMIG
CMIN3,CSNMINERACAO
COGN3,COGNA ON
CPFE3,CPFL ENERGIA
CPLE6,COPEL
CRFB3,CARREFOUR BR
CSAN3,COSAN
CSNA3,SID NACIONAL
CVCB3,CVC BRASIL
CYRE3,CYRELA REALT
DXCO3,DEXCO
ECOR3,ECORODOVIAS
EGIE3,ENGIE BRASIL
ELET3,ELETROBRAS
ELET6,ELETROBRAS
EMBR3,EMBRAER
ENBR3,ENERGIAS BR
ENEV3,ENEVA
ENGI11,ENERGISA
EQTL3,EQUATORIAL
EZTC3,EZTEC
FLRY3,FLEURY
GGBR4,GERDAU
GOAU4,GERDAU MET
GOLL4,GOL
HAPV3,HAPVIDA
HYPE3,HYPERA
IGTI11,IGUATEMI S.A
ITSA4,ITAUSA
ITUB4,ITAUUNIBANCO
JBSS3,JBS
KLBN11,KLABIN S/A
LREN3,LOJAS RENNER
LWSA3,LOCAWEB
MGLU3,MAGAZ LUIZA
MRFG3,MARFRIG
MRVE3,MRV
MULT3,MULTIPLAN
NTCO3,GRUPO NATURA
PCAR3,P.ACUCAR-CBD
PETR3,PETROBRAS
PETR4,PETROBRAS
PETZ3,PETZ
PRIO3,PETRORIO
QUAL3,QUALICORP
RADL3,RAIADROGASIL
RAIL3,RUMO S.A.
RAIZ4,RAIZEN
RDOR3,REDE D OR
RENT3,LOCALIZA
RRRP3,3R PETROLEUM
SANB11,SANTANDER BR
SBSP3,SABESP
SLCE3,SLC AGRICOLA
SMTO3,SAO MARTINHO
SOMA3,GRUPO SOMA
SUZB3,SUZANO S.A.
TAEE11,TAESA
TIMS3,TIM
TOTS3,TOTVS
UGPA3,ULTRAPAR
USIM5,USIMINAS
VALE3,VALE
VBBR3,VIBRA
VIIA3,VIA
VIVT3,TELEF BRASIL
WEGE3,WEG
YDUQ3,YDUQS PART
